"","Estimate","Year","Value","Pop.variable","Locality"
"1","est",2020,1566,"size","Filletassen"
"2","lower",2020,543,"size","Filletassen"
"3","upper",2020,2932,"size","Filletassen"
"4","est",2021,1555,"size","Filletassen"
"5","lower",2021,505,"size","Filletassen"
"6","upper",2021,3025,"size","Filletassen"
"7","est",2022,1271,"size","Filletassen"
"8","lower",2022,400,"size","Filletassen"
"9","upper",2022,2532,"size","Filletassen"
"10","est",2023,1990,"size","Filletassen"
"11","lower",2023,758,"size","Filletassen"
"12","upper",2023,3665,"size","Filletassen"
"13","est",2024,2443,"size","Filletassen"
"14","lower",2024,1018,"size","Filletassen"
"15","upper",2024,4302,"size","Filletassen"
"16","est",2020,300,"fert","Filletassen"
"17","lower",2020,74,"fert","Filletassen"
"18","upper",2020,937,"fert","Filletassen"
"19","est",2021,50,"fert","Filletassen"
"20","lower",2021,6,"fert","Filletassen"
"21","upper",2021,355,"fert","Filletassen"
"22","est",2022,122,"fert","Filletassen"
"23","lower",2022,5,"fert","Filletassen"
"24","upper",2022,378,"fert","Filletassen"
"25","est",2023,284,"fert","Filletassen"
"26","lower",2023,24,"fert","Filletassen"
"27","upper",2023,578,"fert","Filletassen"
"28","est",2024,163,"fert","Filletassen"
"29","lower",2024,31,"fert","Filletassen"
"30","upper",2024,524,"fert","Filletassen"
"31","est",2020,1266,"veg","Filletassen"
"32","lower",2020,322,"veg","Filletassen"
"33","upper",2020,2427,"veg","Filletassen"
"34","est",2021,1505,"veg","Filletassen"
"35","lower",2021,494,"veg","Filletassen"
"36","upper",2021,2740,"veg","Filletassen"
"37","est",2022,1149,"veg","Filletassen"
"38","lower",2022,334,"veg","Filletassen"
"39","upper",2022,2305,"veg","Filletassen"
"40","est",2023,1706,"veg","Filletassen"
"41","lower",2023,664,"veg","Filletassen"
"42","upper",2023,3206,"veg","Filletassen"
"43","est",2024,2280,"veg","Filletassen"
"44","lower",2024,880,"veg","Filletassen"
"45","upper",2024,4072,"veg","Filletassen"
"46","est",2020,50,"forekomst","Filletassen"
"47","lower",2020,27.8,"forekomst","Filletassen"
"48","upper",2020,72.2,"forekomst","Filletassen"
"49","est",2021,38.9,"forekomst","Filletassen"
"50","lower",2021,20,"forekomst","Filletassen"
"51","upper",2021,58.3,"forekomst","Filletassen"
"52","est",2022,30.5,"forekomst","Filletassen"
"53","lower",2022,14.4,"forekomst","Filletassen"
"54","upper",2022,50,"forekomst","Filletassen"
"55","est",2023,44.4,"forekomst","Filletassen"
"56","lower",2023,25,"forekomst","Filletassen"
"57","upper",2023,66.6,"forekomst","Filletassen"
"58","est",2024,61.1,"forekomst","Filletassen"
"59","lower",2024,38.9,"forekomst","Filletassen"
"60","upper",2024,86.1,"forekomst","Filletassen"
"61","est",2014,1253,"size","Skipstadsand"
"62","lower",2014,708,"size","Skipstadsand"
"63","upper",2014,10105,"size","Skipstadsand"
"64","est",2015,2086,"size","Skipstadsand"
"65","lower",2015,982,"size","Skipstadsand"
"66","upper",2015,16695,"size","Skipstadsand"
"67","est",2016,1695,"size","Skipstadsand"
"68","lower",2016,841,"size","Skipstadsand"
"69","upper",2016,13848,"size","Skipstadsand"
"70","est",2017,2118,"size","Skipstadsand"
"71","lower",2017,932,"size","Skipstadsand"
"72","upper",2017,17058,"size","Skipstadsand"
"73","est",2019,751,"size","Skipstadsand"
"74","lower",2019,376,"size","Skipstadsand"
"75","upper",2019,6200,"size","Skipstadsand"
"76","est",2020,937,"size","Skipstadsand"
"77","lower",2020,513,"size","Skipstadsand"
"78","upper",2020,7515,"size","Skipstadsand"
"79","est",2021,488,"size","Skipstadsand"
"80","lower",2021,215,"size","Skipstadsand"
"81","upper",2021,5501,"size","Skipstadsand"
"82","est",2022,613,"size","Skipstadsand"
"83","lower",2022,270,"size","Skipstadsand"
"84","upper",2022,7002,"size","Skipstadsand"
"85","est",2023,457,"size","Skipstadsand"
"86","lower",2023,205,"size","Skipstadsand"
"87","upper",2023,5071,"size","Skipstadsand"
"88","est",2024,570,"size","Skipstadsand"
"89","lower",2024,284,"size","Skipstadsand"
"90","upper",2024,6652,"size","Skipstadsand"
"91","est",2014,393,"fert","Skipstadsand"
"92","lower",2014,178,"fert","Skipstadsand"
"93","upper",2014,2958,"fert","Skipstadsand"
"94","est",2015,427,"fert","Skipstadsand"
"95","lower",2015,186,"fert","Skipstadsand"
"96","upper",2015,3986,"fert","Skipstadsand"
"97","est",2016,347,"fert","Skipstadsand"
"98","lower",2016,174,"fert","Skipstadsand"
"99","upper",2016,2850,"fert","Skipstadsand"
"100","est",2017,289,"fert","Skipstadsand"
"101","lower",2017,74,"fert","Skipstadsand"
"102","upper",2017,2010,"fert","Skipstadsand"
"103","est",2019,172,"fert","Skipstadsand"
"104","lower",2019,72,"fert","Skipstadsand"
"105","upper",2019,1340,"fert","Skipstadsand"
"106","est",2020,107,"fert","Skipstadsand"
"107","lower",2020,42,"fert","Skipstadsand"
"108","upper",2020,880,"fert","Skipstadsand"
"109","est",2021,95,"fert","Skipstadsand"
"110","lower",2021,48,"fert","Skipstadsand"
"111","upper",2021,1114,"fert","Skipstadsand"
"112","est",2022,100,"fert","Skipstadsand"
"113","lower",2022,48,"fert","Skipstadsand"
"114","upper",2022,1200,"fert","Skipstadsand"
"115","est",2023,114,"fert","Skipstadsand"
"116","lower",2023,50,"fert","Skipstadsand"
"117","upper",2023,1157,"fert","Skipstadsand"
"118","est",2024,107,"fert","Skipstadsand"
"119","lower",2024,52,"fert","Skipstadsand"
"120","upper",2024,1280,"fert","Skipstadsand"
"121","est",2014,860,"veg","Skipstadsand"
"122","lower",2014,486,"veg","Skipstadsand"
"123","upper",2014,7031,"veg","Skipstadsand"
"124","est",2015,1659,"veg","Skipstadsand"
"125","lower",2015,728,"veg","Skipstadsand"
"126","upper",2015,12640,"veg","Skipstadsand"
"127","est",2016,1348,"veg","Skipstadsand"
"128","lower",2016,631,"veg","Skipstadsand"
"129","upper",2016,10576,"veg","Skipstadsand"
"130","est",2017,1829,"veg","Skipstadsand"
"131","lower",2017,815,"veg","Skipstadsand"
"132","upper",2017,14710,"veg","Skipstadsand"
"133","est",2019,579,"veg","Skipstadsand"
"134","lower",2019,279,"veg","Skipstadsand"
"135","upper",2019,4821,"veg","Skipstadsand"
"136","est",2020,830,"veg","Skipstadsand"
"137","lower",2020,440,"veg","Skipstadsand"
"138","upper",2020,6627,"veg","Skipstadsand"
"139","est",2021,393,"veg","Skipstadsand"
"140","lower",2021,172,"veg","Skipstadsand"
"141","upper",2021,4448,"veg","Skipstadsand"
"142","est",2022,513,"veg","Skipstadsand"
"143","lower",2022,215,"veg","Skipstadsand"
"144","upper",2022,5786,"veg","Skipstadsand"
"145","est",2023,343,"veg","Skipstadsand"
"146","lower",2023,151,"veg","Skipstadsand"
"147","upper",2023,3834,"veg","Skipstadsand"
"148","est",2024,463,"veg","Skipstadsand"
"149","lower",2024,217,"veg","Skipstadsand"
"150","upper",2024,5315,"veg","Skipstadsand"
"151","est",2014,6.5,"forekomst","Skipstadsand"
"152","lower",2014,5.5,"forekomst","Skipstadsand"
"153","upper",2014,50,"forekomst","Skipstadsand"
"154","est",2015,6.5,"forekomst","Skipstadsand"
"155","lower",2015,5.5,"forekomst","Skipstadsand"
"156","upper",2015,50,"forekomst","Skipstadsand"
"157","est",2016,6.5,"forekomst","Skipstadsand"
"158","lower",2016,5.5,"forekomst","Skipstadsand"
"159","upper",2016,50,"forekomst","Skipstadsand"
"160","est",2017,6.5,"forekomst","Skipstadsand"
"161","lower",2017,5.5,"forekomst","Skipstadsand"
"162","upper",2017,50,"forekomst","Skipstadsand"
"163","est",2019,6.5,"forekomst","Skipstadsand"
"164","lower",2019,5.5,"forekomst","Skipstadsand"
"165","upper",2019,50,"forekomst","Skipstadsand"
"166","est",2020,6.5,"forekomst","Skipstadsand"
"167","lower",2020,5.5,"forekomst","Skipstadsand"
"168","upper",2020,50,"forekomst","Skipstadsand"
"169","est",2021,4.5,"forekomst","Skipstadsand"
"170","lower",2021,2.4,"forekomst","Skipstadsand"
"171","upper",2021,50,"forekomst","Skipstadsand"
"172","est",2022,4.5,"forekomst","Skipstadsand"
"173","lower",2022,2.4,"forekomst","Skipstadsand"
"174","upper",2022,50,"forekomst","Skipstadsand"
"175","est",2023,4.5,"forekomst","Skipstadsand"
"176","lower",2023,2.4,"forekomst","Skipstadsand"
"177","upper",2023,50,"forekomst","Skipstadsand"
"178","est",2024,4.5,"forekomst","Skipstadsand"
"179","lower",2024,2.4,"forekomst","Skipstadsand"
"180","upper",2024,50,"forekomst","Skipstadsand"
"181","est",2014,5820,"size","Teneskjaer"
"182","lower",2014,363,"size","Teneskjaer"
"183","upper",2014,15350,"size","Teneskjaer"
"184","est",2015,3719,"size","Teneskjaer"
"185","lower",2015,290,"size","Teneskjaer"
"186","upper",2015,9144,"size","Teneskjaer"
"187","est",2016,1767,"size","Teneskjaer"
"188","lower",2016,209,"size","Teneskjaer"
"189","upper",2016,4632,"size","Teneskjaer"
"190","est",2017,1565,"size","Teneskjaer"
"191","lower",2017,160,"size","Teneskjaer"
"192","upper",2017,3997,"size","Teneskjaer"
"193","est",2019,323,"size","Teneskjaer"
"194","lower",2019,98,"size","Teneskjaer"
"195","upper",2019,653,"size","Teneskjaer"
"196","est",2020,140,"size","Teneskjaer"
"197","lower",2020,53,"size","Teneskjaer"
"198","upper",2020,464,"size","Teneskjaer"
"199","est",2021,323,"size","Teneskjaer"
"200","lower",2021,98,"size","Teneskjaer"
"201","upper",2021,623,"size","Teneskjaer"
"202","est",2022,286,"size","Teneskjaer"
"203","lower",2022,87,"size","Teneskjaer"
"204","upper",2022,626,"size","Teneskjaer"
"205","est",2023,397,"size","Teneskjaer"
"206","lower",2023,69,"size","Teneskjaer"
"207","upper",2023,1100,"size","Teneskjaer"
"208","est",2024,638,"size","Teneskjaer"
"209","lower",2024,181,"size","Teneskjaer"
"210","upper",2024,2100,"size","Teneskjaer"
"211","est",2014,36,"fert","Teneskjaer"
"212","lower",2014,11,"fert","Teneskjaer"
"213","upper",2014,66,"fert","Teneskjaer"
"214","est",2015,3,"fert","Teneskjaer"
"215","lower",2015,1,"fert","Teneskjaer"
"216","upper",2015,10,"fert","Teneskjaer"
"217","est",2016,37,"fert","Teneskjaer"
"218","lower",2016,11,"fert","Teneskjaer"
"219","upper",2016,388,"fert","Teneskjaer"
"220","est",2017,26,"fert","Teneskjaer"
"221","lower",2017,7,"fert","Teneskjaer"
"222","upper",2017,205,"fert","Teneskjaer"
"223","est",2019,7,"fert","Teneskjaer"
"224","lower",2019,2,"fert","Teneskjaer"
"225","upper",2019,82,"fert","Teneskjaer"
"226","est",2020,8,"fert","Teneskjaer"
"227","lower",2020,3,"fert","Teneskjaer"
"228","upper",2020,21,"fert","Teneskjaer"
"229","est",2021,40,"fert","Teneskjaer"
"230","lower",2021,12,"fert","Teneskjaer"
"231","upper",2021,205,"fert","Teneskjaer"
"232","est",2022,10,"fert","Teneskjaer"
"233","lower",2022,3,"fert","Teneskjaer"
"234","upper",2022,57,"fert","Teneskjaer"
